     #v1       v2       v3       v4       v5       v6       v7  v8           v9        z
0.525984 0.438702 0.074022 0.083441 0.636643 0.233681 0.647561 0.0 5.009696e-03 0.268018
0.974475 0.422125 0.738683 0.702419 0.446558 0.512280 0.464451 0.0 4.955963e-01 0.583966
0.499855 0.204091 0.241935 0.082878 0.439724 0.630567 0.486542 1.0 5.106775e-02 0.301898
0.043005 0.160673 0.663177 0.875496 0.317103 0.538792 0.371890 0.0 3.802221e-01 0.458465
0.118005 0.367672 0.567558 0.942975 0.730707 0.240507 0.749094 0.0 2.896702e-01 0.438249
0.214094 0.679998 0.859470 0.894653 0.431211 0.817244 0.416495 0.0 7.027796e-01 0.635882
0.508777 0.928426 0.532949 0.921926 0.583672 0.569834 0.534185 0.0 2.821004e-01 0.501096
0.988445 0.646273 0.035246 0.081264 0.499377 0.372122 0.486665 1.0 1.184274e-03 0.323847
0.011290 0.957089 0.014558 0.067668 0.589216 0.510719 0.536586 0.0 2.156712e-04 0.302499
0.695851 0.253643 0.294101 0.110311 0.386625 0.307158 0.427749 0.0 7.616654e-02 0.191276
0.280412 0.972106 0.340918 0.035645 0.495524 0.278528 0.442270 1.0 1.163201e-01 0.381413
0.917497 0.555814 0.736660 0.757829 0.540930 0.665080 0.540984 0.0 5.050339e-01 0.516479
0.436559 0.110391 0.503519 0.705113 0.497688 0.399634 0.553465 1.0 2.170806e-01 0.396571
0.666151 0.781794 0.590412 0.945878 0.440680 0.574857 0.413839 1.0 3.376353e-01 0.505479
0.042892 0.387016 0.271135 0.142920 0.336421 0.785937 0.360257 0.0 6.638349e-02 0.256880
0.267545 0.332380 0.955635 0.998676 0.424699 0.392022 0.454038 0.0 8.156652e-01 0.782896
0.154980 0.983012 0.560009 0.995494 0.375593 0.317031 0.326359 1.0 3.143328e-01 0.541715
0.759918 0.775605 0.154103 0.118966 0.521985 0.399394 0.495126 0.0 2.300932e-02 0.240838
0.289892 0.625433 0.422132 0.096467 0.501936 0.650401 0.492566 0.0 1.679647e-01 0.345573
0.943019 0.297943 0.566492 0.874428 0.205816 0.650292 0.244878 0.0 2.848357e-01 0.415912
0.127065 0.561045 0.203537 0.041481 0.184375 0.557156 0.190459 0.0 3.863098e-02 0.216642
0.304212 0.551770 0.720187 0.957314 0.601868 0.125722 0.598884 0.0 4.823532e-01 0.528752
0.980506 0.789704 0.856890 0.972076 0.423660 0.548706 0.395411 0.0 7.120554e-01 0.650167
0.835158 0.063561 0.662963 0.973365 0.735180 0.426878 0.789842 0.0 3.728293e-01 0.448690
0.665162 0.233587 0.266728 0.103661 0.311710 0.672295 0.355467 0.0 6.241538e-02 0.180353
0.597595 0.320376 0.547827 0.860925 0.307488 0.496250 0.343119 1.0 2.675074e-01 0.435719
0.482804 0.419401 0.406556 0.128214 0.361858 0.532043 0.381479 1.0 1.500986e-01 0.360670
0.508363 0.360758 0.663739 0.818651 0.226638 0.505757 0.257494 1.0 3.956268e-01 0.479252
0.506251 0.917710 0.816127 0.691224 0.352765 0.350473 0.310132 1.0 6.602064e-01 0.763733
0.411560 0.636771 0.121786 0.012699 0.416725 0.524212 0.408625 1.0 1.403258e-02 0.309816
0.250792 0.813273 0.714307 0.993859 0.423323 0.465530 0.392840 1.0 4.968508e-01 0.695718
0.726830 0.654610 0.661623 0.828953 0.760027 0.611369 0.739086 0.0 4.146470e-01 0.531575
0.532854 0.235307 0.795501 0.934449 0.385529 0.499721 0.428267 0.0 5.549583e-01 0.611708
0.017922 0.995512 0.478642 0.001107 0.317779 0.425144 0.266717 0.0 2.301267e-01 0.393906
0.188821 0.008232 0.389774 0.001333 0.429964 0.421366 0.500831 0.0 1.275040e-01 0.232356
0.116877 0.618059 0.072574 0.059971 0.523298 0.393502 0.515174 1.0 4.974724e-03 0.258929
0.209379 0.711345 0.803913 0.672142 0.534574 0.521146 0.514464 0.0 6.182666e-01 0.684963
0.243590 0.739226 0.711753 0.875905 0.573604 0.489470 0.546979 0.0 4.870241e-01 0.589263
0.015639 0.272971 0.799018 0.973983 0.695816 0.614481 0.724253 1.0 5.639019e-01 0.675862
0.785614 0.448009 0.950689 0.884244 0.830218 0.595378 0.834908 0.0 8.247412e-01 0.801085
0.955603 0.963395 0.001197 0.135095 0.414824 0.427078 0.365147 0.0 1.782310e-06 0.235808
0.188277 0.780900 0.787612 0.923284 0.705197 0.542558 0.672178 0.0 6.006768e-01 0.590186
0.706864 0.409636 0.732458 0.889484 0.340136 0.419295 0.362545 0.0 4.861586e-01 0.542203
0.941022 0.610381 0.777713 0.786803 0.398623 0.342950 0.394357 1.0 5.684065e-01 0.618555
0.222732 0.571900 0.638160 0.836759 0.332925 0.485172 0.334870 0.0 3.801262e-01 0.477184
0.080609 0.496341 0.806215 0.814842 0.469460 0.416921 0.476009 1.0 5.984125e-01 0.620924
0.535351 0.607656 0.659594 0.941814 0.574039 0.340523 0.565912 0.0 4.086885e-01 0.475664
0.733263 0.213482 0.444895 0.088165 0.450105 0.098213 0.493855 0.0 1.729052e-01 0.260771
0.932011 0.856297 0.484637 0.101112 0.575661 0.637447 0.535923 0.0 2.304497e-01 0.381773
0.308947 0.032028 0.118957 0.103312 0.498455 0.590494 0.564080 1.0 1.195319e-02 0.276750
0.947611 0.234582 0.770551 0.902021 0.758895 0.544472 0.792737 0.0 5.206280e-01 0.504320
0.788423 0.755003 0.925863 0.875868 0.544298 0.711619 0.517142 0.0 8.262960e-01 0.747432
0.246303 0.352160 0.993052 0.810550 0.420648 0.146498 0.448343 1.0 8.840433e-01 0.809753
0.771550 0.453053 0.440942 0.165071 0.625675 0.641703 0.636098 0.0 1.776483e-01 0.339279
0.780918 0.181125 0.405550 0.141209 0.475517 0.548338 0.522864 0.0 1.427926e-01 0.249557
0.220805 0.483091 0.541215 0.883851 0.635422 0.396724 0.640728 1.0 2.690721e-01 0.498281
0.003095 0.647162 0.351196 0.022451 0.445055 0.444718 0.433811 0.0 1.167230e-01 0.281428
0.259946 0.018216 0.154878 0.014755 0.418517 0.411101 0.487776 0.0 2.019482e-02 0.218262
0.499033 0.864784 0.845245 0.838233 0.276093 0.225370 0.243648 1.0 7.018176e-01 0.809343
0.685632 0.474477 0.564210 0.836935 0.634829 0.605652 0.642057 0.0 2.919564e-01 0.448156
0.618465 0.156093 0.787287 0.993019 0.400217 0.256340 0.452625 0.0 5.353386e-01 0.523933
0.432465 0.508158 0.665874 0.986688 0.424435 0.626167 0.432941 0.0 4.091190e-01 0.472849
0.757239 0.339224 0.536913 0.940892 0.520655 0.527713 0.547241 0.0 2.578677e-01 0.405804
0.181460 0.307761 0.145558 0.059949 0.239983 0.425984 0.278788 1.0 1.886826e-02 0.295684
0.298157 0.333374 0.174763 0.088124 0.585523 0.427206 0.611373 0.0 2.732136e-02 0.263793
0.303924 0.445555 0.721392 0.749343 0.451087 0.355664 0.467084 1.0 4.747124e-01 0.518846
0.858351 0.592941 0.253197 0.105622 0.298578 0.338296 0.299650 0.0 6.010700e-02 0.240745
0.879079 0.250200 0.771459 0.878905 0.502723 0.755942 0.542182 0.0 5.234109e-01 0.591461
0.377975 0.935285 0.359805 0.091963 0.501367 0.179801 0.454379 1.0 1.287614e-01 0.383457
0.864696 0.127047 0.876821 0.826262 0.580077 0.089102 0.630244 0.0 6.602612e-01 0.564319
0.237039 0.741365 0.402777 0.034717 0.464362 0.274268 0.440380 0.0 1.560707e-01 0.321457
0.169522 0.142604 0.786507 0.691736 0.156906 0.657760 0.216787 0.0 5.328809e-01 0.502440
0.103345 0.895661 0.991909 0.781984 0.590521 0.675865 0.545424 0.0 9.715371e-01 0.829939
0.251384 0.637936 0.622684 0.989496 0.728018 0.576759 0.711778 0.0 3.662045e-01 0.512741
0.785689 0.723033 0.841499 0.924238 0.563431 0.404289 0.540152 0.0 6.788046e-01 0.712342
0.684495 0.949016 0.003938 0.068436 0.462643 0.333914 0.414436 1.0 1.659802e-05 0.304612
0.555610 0.330631 0.480388 0.108925 0.441807 0.503805 0.469972 0.0 2.061116e-01 0.292893
0.398225 0.025790 0.394990 0.123554 0.395517 0.541413 0.464881 0.0 1.313970e-01 0.259951
0.986554 0.667416 0.658113 0.997325 0.236112 0.524872 0.230066 0.0 4.111896e-01 0.583559
0.651631 0.539999 0.765473 0.932802 0.274686 0.324980 0.282765 0.0 5.437533e-01 0.611192
0.130122 0.207780 0.729507 0.841747 0.482851 0.552659 0.525807 0.0 4.642634e-01 0.542641
0.733392 0.901427 0.867786 0.869277 0.714560 0.353655 0.665683 1.0 7.443618e-01 0.826323
0.227470 0.130034 0.327623 0.041385 0.328412 0.611843 0.387252 0.0 9.228653e-02 0.191018
0.776276 0.340788 0.995081 0.768364 0.495184 0.446506 0.523406 0.0 8.857746e-01 0.740760
0.770464 0.346445 0.668093 0.941900 0.587244 0.516536 0.612341 0.0 3.997626e-01 0.503134
0.300361 0.771982 0.693326 0.923790 0.191507 0.375424 0.172766 0.0 4.647742e-01 0.553172
0.822438 0.825344 0.766188 0.833327 0.525831 0.687127 0.490212 0.0 5.728163e-01 0.633797
0.327424 0.977310 0.413934 0.065437 0.365050 0.565675 0.315262 0.0 1.716043e-01 0.349715
0.935434 0.576292 0.145344 0.098005 0.750721 0.645786 0.740191 0.0 1.976446e-02 0.208958
0.555238 0.399635 0.492908 0.122645 0.449308 0.740441 0.469965 0.0 2.197994e-01 0.361374
0.833401 0.098467 0.129501 0.054417 0.626422 0.521652 0.679907 0.0 1.434996e-02 0.214281
0.468386 0.767158 0.384416 0.025801 0.375576 0.622687 0.351497 1.0 1.428090e-01 0.378452
0.199242 0.620120 0.613572 0.913456 0.413072 0.463947 0.408163 0.0 3.544439e-01 0.503564
0.606156 0.687570 0.058031 0.130781 0.300175 0.694034 0.288915 0.0 3.223274e-03 0.215563
0.519444 0.286477 0.606516 0.794139 0.498918 0.371580 0.532035 0.0 3.257882e-01 0.427700
0.813028 0.773641 0.098733 0.156660 0.417827 0.439194 0.391423 0.0 9.451984e-03 0.295089
0.863797 0.910629 0.970562 0.980556 0.764509 0.479731 0.711452 0.0 9.325369e-01 0.852760
0.590513 0.531707 0.014815 0.099317 0.465371 0.579183 0.467899 0.0 2.073379e-04 0.165616
0.930270 0.086913 0.792820 0.863357 0.371172 0.515925 0.432817 0.0 5.356077e-01 0.573820
0.321704 0.361365 0.541774 0.803342 0.415901 0.644357 0.442432 0.0 2.636448e-01 0.408568
0.405222 0.943762 0.734150 0.824869 0.537879 0.545939 0.488722 1.0 5.366097e-01 0.687267
0.429892 0.096780 0.148567 0.029147 0.535570 0.322913 0.592226 1.0 1.887464e-02 0.250852
0.084525 0.298715 0.823905 0.866565 0.505414 0.497933 0.535965 0.0 6.024951e-01 0.618131
0.518217 0.790663 0.753173 0.667548 0.228081 0.633760 0.206643 1.0 5.502314e-01 0.656751
0.050917 0.967745 0.886103 0.729359 0.591326 0.402311 0.536635 0.0 7.848298e-01 0.798448
0.980544 0.274368 0.066851 0.033012 0.318824 0.395962 0.359083 0.0 3.964343e-03 0.215677
0.216517 0.958530 0.000000 0.030413 0.572623 0.487695 0.519144 0.0 0.000000e+00 0.289473
0.868648 0.630858 0.838013 0.870044 0.599476 0.466749 0.586221 0.0 6.623564e-01 0.607687
0.983229 0.607068 0.622377 0.745343 0.185203 0.407928 0.185760 0.0 3.638410e-01 0.466090
0.207812 0.970312 0.033445 0.038641 0.636574 0.370682 0.580508 0.0 1.128042e-03 0.243201
0.951719 0.990334 0.580521 0.725456 0.451084 0.436213 0.397321 0.0 3.381890e-01 0.511987
0.529879 0.502641 0.743757 0.911981 0.483110 0.349824 0.490375 0.0 5.098850e-01 0.606806
0.047194 0.616340 0.000524 0.116604 0.685098 0.557358 0.670837 0.0 4.022138e-07 0.268242
0.149478 0.749674 0.585455 0.900241 0.227923 0.517445 0.211978 0.0 3.301475e-01 0.476413
0.650091 0.329471 0.868722 0.914451 0.722224 0.310979 0.745224 1.0 6.736991e-01 0.754829
0.965464 0.100827 0.095684 0.087448 0.373271 0.362197 0.433661 1.0 7.844006e-03 0.233293
0.166116 0.846812 0.407568 0.001829 0.474271 0.579259 0.438356 1.0 1.627378e-01 0.383765
0.504072 0.936866 0.428773 0.038495 0.176533 0.406217 0.136264 1.0 1.828792e-01 0.408918
0.545486 0.624384 0.500398 0.990834 0.437606 0.439695 0.430566 0.0 2.359527e-01 0.428952
0.006139 0.984390 0.142143 0.078860 0.587716 0.491975 0.531409 0.0 2.028730e-02 0.260429
0.305447 0.457444 0.187423 0.162467 0.590509 0.409620 0.599996 0.0 3.215033e-02 0.229557
0.862050 0.088247 0.342629 0.097455 0.461016 0.363518 0.521713 0.0 1.001086e-01 0.185328
0.964849 0.450051 0.113876 0.147571 0.273448 0.377213 0.293074 0.0 1.186469e-02 0.208898
0.891142 0.752994 0.258332 0.113379 0.671738 0.534365 0.641154 1.0 6.435830e-02 0.315024
0.353154 0.232175 0.089861 0.085424 0.631006 0.384408 0.666341 0.0 7.097682e-03 0.153474
0.721451 0.361260 0.870608 0.798781 0.522160 0.407993 0.544615 1.0 6.806605e-01 0.679027
0.371586 0.360153 0.637057 0.811424 0.352210 0.526003 0.380640 0.0 3.644239e-01 0.461182
0.585859 0.238324 0.252364 0.086567 0.573512 0.587676 0.610725 1.0 5.592818e-02 0.288710
0.664111 0.488664 0.557253 0.960044 0.496310 0.495161 0.505909 1.0 2.855412e-01 0.458924
0.615689 0.135638 0.776986 0.864111 0.719853 0.513583 0.765158 0.0 5.193563e-01 0.483585
0.136302 0.029486 0.113832 0.039822 0.186605 0.473347 0.261580 0.0 1.094094e-02 0.182965
0.844079 0.759903 0.258431 0.087465 0.584083 0.392161 0.554542 0.0 6.448475e-02 0.291642
0.732012 0.778942 0.960027 0.667632 0.591354 0.478628 0.559622 0.0 8.920863e-01 0.808681
0.381058 0.863734 0.279103 0.099628 0.523632 0.337186 0.484731 0.0 7.656244e-02 0.331686
0.623344 0.878019 0.576947 0.899488 0.379345 0.420832 0.340787 0.0 3.277781e-01 0.497597
0.525051 0.012998 0.170329 0.073442 0.396392 0.326353 0.468293 0.0 2.439554e-02 0.193962
0.383822 0.623627 0.658710 0.745283 0.362485 0.329366 0.358374 0.0 4.087536e-01 0.498152
0.405519 0.289041 0.154776 0.098190 0.406745 0.589318 0.442340 1.0 2.125607e-02 0.291952
0.659054 0.090206 0.107430 0.152295 0.226498 0.357335 0.293091 0.0 9.864001e-03 0.138957
0.175085 0.118258 0.567705 0.762792 0.345001 0.610469 0.402236 0.0 2.763587e-01 0.388243
0.714048 0.364841 0.612203 0.738237 0.586231 0.000000 0.608142 0.0 3.368431e-01 0.443027
0.967017 0.385123 0.444957 0.156747 0.216972 0.810974 0.245601 1.0 1.786449e-01 0.359443
0.406624 0.742049 0.192111 0.143008 0.234626 0.494545 0.218240 0.0 3.553813e-02 0.247472
0.568171 0.342051 0.775651 0.696371 0.439290 0.569711 0.468771 0.0 5.383666e-01 0.508570
0.270401 0.313673 0.901196 0.809156 0.473244 0.600617 0.504671 0.0 7.228505e-01 0.631252
0.561637 0.330059 0.147980 0.068732 0.209453 0.379806 0.245346 1.0 1.958268e-02 0.277589
0.708259 0.258306 0.753342 0.849643 0.437606 0.481231 0.477490 0.0 4.998908e-01 0.515962
0.952760 0.718830 0.873673 0.925679 0.385660 0.384488 0.367541 0.0 7.311586e-01 0.737139
0.253081 0.804465 0.780281 0.715075 0.659231 0.415667 0.624902 1.0 5.919500e-01 0.676558
0.486482 0.752335 0.589721 0.826216 0.386957 0.872383 0.364897 0.0 3.351292e-01 0.521376
0.674878 0.669124 0.813794 0.694756 0.182379 0.357599 0.177607 0.0 6.288746e-01 0.682418
0.190511 0.264187 0.661186 0.726194 0.740126 0.683502 0.769035 1.0 3.855200e-01 0.486887
0.022204 0.777365 0.841108 0.813878 0.702172 0.347769 0.669989 1.0 6.846107e-01 0.731654
0.216720 0.304447 0.776427 0.792829 0.468882 0.440584 0.500074 1.0 5.356491e-01 0.609203
0.556944 0.673129 0.530863 0.784461 0.457058 0.451147 0.441768 0.0 2.678484e-01 0.422442
0.733895 0.812457 0.122476 0.043973 0.428320 0.366034 0.399030 1.0 1.463393e-02 0.330359
0.329155 0.679886 0.944738 0.669435 0.710591 0.468495 0.688013 0.0 8.491003e-01 0.812846
0.573256 0.010852 0.076330 0.139179 0.295139 0.657229 0.367367 0.0 4.907477e-03 0.233293
0.473652 0.308710 0.098343 0.095051 0.684845 0.429822 0.709827 1.0 8.622722e-03 0.251741
0.853344 0.946865 0.968537 0.751752 0.460531 0.493156 0.413641 0.0 9.343423e-01 0.841188
0.846285 0.537097 0.340279 0.047017 0.582550 0.777029 0.582966 0.0 1.074468e-01 0.246445
0.624630 0.956768 0.505917 0.719539 0.528787 0.263632 0.476637 0.0 2.554314e-01 0.451776
0.517154 0.355793 0.753423 0.870587 0.581991 0.424911 0.603261 0.0 5.092642e-01 0.601284
0.460584 0.480584 0.372528 0.010095 0.688921 0.708785 0.692436 1.0 1.274544e-01 0.343317
0.202851 0.911671 0.779575 0.873634 0.536677 0.668669 0.490036 0.0 6.017890e-01 0.603546
0.661861 0.930403 0.404420 0.071024 0.381296 0.510983 0.338927 0.0 1.625249e-01 0.362959
0.876579 0.774248 0.851407 0.784984 0.906512 0.220046 0.867505 0.0 7.010969e-01 0.626895
0.788898 0.750414 0.675420 0.705128 0.659324 0.526847 0.629038 0.0 4.394356e-01 0.542533
0.376029 0.462609 0.459438 0.149779 0.255533 0.781693 0.274350 0.0 1.931969e-01 0.332733
0.260090 0.948435 0.793683 0.742431 0.523676 0.675152 0.473974 0.0 6.276403e-01 0.680342
0.380929 0.646836 0.504322 0.685808 0.453015 0.521815 0.443042 0.0 2.406231e-01 0.412166
0.879682 0.045044 0.851115 0.930171 0.501135 0.492388 0.565013 0.0 6.121748e-01 0.535336
0.611334 0.339482 0.530996 0.891304 0.284677 0.274358 0.317957 0.0 2.522288e-01 0.404069
0.898310 0.542204 0.938298 0.929938 0.346582 0.379480 0.351963 1.0 8.172709e-01 0.815764
0.406400 0.084644 0.417153 0.106333 0.558096 0.508168 0.616117 0.0 1.482655e-01 0.231339
0.935304 0.386977 0.624308 0.694579 0.196213 0.284093 0.226468 1.0 3.517375e-01 0.509646
